theta	 analytic v_phi	 analytic v_theta	 Schilds v_phi	 Schilds v_theta	             error_phi	 error_theta
0.7853981633974483	0.05	0	0.05	0.0	0.0	0.0
0.8124808586870155	0.04869911652711866	0	0.048699221024776175	-1.6042760962342584e-05	-1.0449765751319173e-07	1.6042760962342584e-05
0.8395635539765827	0.04749816152121182	0	0.0474983096769674	-3.0436118762300346e-05	-1.4815575558047023e-07	3.0436118762300346e-05
0.8666462492661499	0.04638821733706824	0	0.046388363541987616	-4.334344041012628e-05	-1.462049193795556e-07	4.334344041012628e-05
0.893728944555717	0.045361472966653174	0	0.04536158330752083	-5.4908793973185155e-05	-1.1034086765809858e-07	5.4908793973185155e-05
0.9208116398452841	0.04441106270406839	0	0.04441111226803079	-6.525980859128921e-05	-4.9563962399579164e-08	6.525980859128921e-05
0.9478943351348514	0.04353093257520532	0	0.04353090338391923	-7.451004687764051e-05	2.919128608974697e-08	7.451004687764051e-05
0.9749770304244185	0.04271572914229517	0	0.04271560856125025	-8.276098447412839e-05	1.205810449197986e-07	8.276098447412839e-05
1.0020597257139858	0.04196070645981136	0	0.041960485968583434	-9.010367110873219e-05	2.2049122792855425e-07	9.010367110873219e-05
1.029142421003553	0.04126164784831349	0	0.041261322086399994	-9.66201319854143e-05	3.2576191349303896e-07	9.66201319854143e-05
1.05622511629312	0.04061479983764939	0	0.040614365861861	-0.00010238455620492637	4.33975788388663e-07	0.00010238455620492637
1.0833078115826873	0.04001681616179413	0	0.04001627286683137	-0.00010746430957220277	5.432949627612316e-07	0.00010746430957220277
1.1103905068722546	0.039464710102069665	0	0.039464057767339626	-0.00011192080216271272	6.523347300391169e-07	0.00011192080216271272
1.1374732021618217	0.03895581380128774	0	0.03895505373595793	-0.00011581023483331343	7.600653298134308e-07	0.00011581023483331343
1.1645558974513888	0.0384877434291319	0	0.03848687769367756	-0.00011918424481871526	8.657354543389895e-07	0.00011918424481871526
1.191638592740956	0.03805836928432394	0	0.03805740047189191	-0.0001220904666547895	9.688124320283986e-07	0.0001220904666547895
1.2187212880305232	0.037665790083508274	0	0.0376647211481369	-0.0001245730218963903	1.0689353713774774e-06	0.0001245730218963903
1.2458039833200905	0.03730831081924099	0	0.03730714494075224	-0.00012667294888402125	1.1658784887513818e-06	0.00012667294888402125
1.2728866786096575	0.036984423676816466	0	0.036983164154534835	-0.0001284285817122477	1.2595222816311202e-06	0.0001284285817122477
1.2999693738992248	0.03669279158717033	0	0.03669144175609009	-0.0001298758864221039	1.3498310802370628e-06	0.0001298758864221039
1.327052069188792	0.03643223406485473	0	0.03643079722950454	-0.0001310487607111277	1.4368353501853504e-06	0.0001310487607111277
1.354134764478359	0.03620171503928773	0	0.03620019442111891	-0.00013197930305830496	1.5206181688195985e-06	0.00013197930305830496
1.3812174597679263	0.03600033243665026	0	0.03599873113195205	-0.00013269805575522042	1.601304698208017e-06	0.00013269805575522042
1.4083001550574936	0.035827309310932726	0	0.035825630256651086	-0.00013323422610844737	1.6790542816391696e-06	0.00013323422610844737
1.4353828503470607	0.03568198635731173	0	0.0356802323027129	-0.00013361588928062496	1.7540545988251055e-06	0.00013361588928062496
1.4624655456366278	0.03556381567054256	0	0.035561989152933	-0.00013387017596810935	1.8265176095558222e-06	0.00013387017596810935
1.489548240926195	0.035472355636424306	0	0.03547045895950187	-0.00013402344760105045	1.8966769224360025e-06	0.00013402344760105045
1.5166309362157622	0.03540726686648333	0	0.035405302080055	-0.0001341014615221514	1.96478642833231e-06	0.0001341014615221514
1.5437136315053293	0.03536830910553553	0	0.03536627798543149	-0.00013412952850155868	2.031120104044326e-06	0.00013412952850155868
1.5707963267948966	0.03535533905932738	0	0.03535324308645514	-0.00013413266457584783	2.0959728722416693e-06	0.00013413266457584783
