theta	 analytic v_phi	 analytic v_theta	 Schilds v_phi	 Schilds v_theta	             error_phi	 error_theta
1.5707963267948966	0.0	-0.05	0.0	-0.050000000000000044	0.0	4.163336342344337e-17
1.5707963267948966	5.343529704782749e-19	-0.05	0.00021894867437668997	-0.04999952101203209	-0.00021894867437668942	-4.78987967914013e-07
1.5707963267948966	1.0687059409565499e-18	-0.05	0.0004378889450533108	-0.04999808409404394	-0.0004378889450533097	-1.915905956065278e-06
1.5707963267948966	1.6030589114348247e-18	-0.05	0.0006568124096227868	-0.04999568938377186	-0.0006568124096227851	-4.310616228145325e-06
1.5707963267948966	2.1374118819130998e-18	-0.05	0.0008757106682570903	-0.04999233711073803	-0.0008757106682570882	-7.662889261975114e-06
1.5707963267948966	2.671764852391375e-18	-0.05	0.0010945753250045653	-0.049988027596201245	-0.0010945753250045627	-1.1972403798757303e-05
1.5707963267948966	3.2061178228696495e-18	-0.05	0.0013133979890826986	-0.04998276125307921	-0.0013133979890826953	-1.723874692079186e-05
1.5707963267948966	3.740470793347925e-18	-0.05	0.0015321702761488254	-0.04997653858585083	-0.0015321702761488217	-2.3461414149175686e-05
1.5707963267948966	4.2748237638261996e-18	-0.05	0.001750883809599424	-0.04996936019044029	-0.0017508838095994196	-3.063980955970991e-05
1.5707963267948966	4.8091767343044744e-18	-0.05	0.0019695302218531996	-0.04996122675407699	-0.001969530221853195	-3.8773245923010013e-05
